table_code;table_name;domain_subdomain;domain;subdomain
ps1011rs;At-risk-of-poverty rate by group of citizenship (population aged 18 and over);Demographic and social statistics - Income, expenses and living conditions;Demographic and social statistics;Income, expenses and living conditions
ps1012rs;At-risk-of-poverty rate by group of country of birth (population aged 18 and over);Demographic and social statistics - Income, expenses and living conditions;Demographic and social statistics;Income, expenses and living conditions
ps1013rs;Severe material and social deprivation rate broke down by age groups and sex;Demographic and social statistics - Income, expenses and living conditions;Demographic and social statistics;Income, expenses and living conditions
ps1014rs;Severe material and social deprivation rate broke down by economic activity;Demographic and social statistics - Income, expenses and living conditions;Demographic and social statistics;Income, expenses and living conditions
ps1015rs;Severe material and social deprivation rate broke down by income quintile;Demographic and social statistics - Income, expenses and living conditions;Demographic and social statistics;Income, expenses and living conditions
ps1016rs;Severe material and social deprivation rate broke down by the highest education achieved (population aged 18 and over);Demographic and social statistics - Income, expenses and living conditions;Demographic and social statistics;Income, expenses and living conditions
ps1017rs;Severe material and social deprivation by group of citizenship (population aged 18 and over);Demographic and social statistics - Income, expenses and living conditions;Demographic and social statistics;Income, expenses and living conditions
ps1018rs;Severe material and social deprivation by group of country of birth (population aged 18 and over);Demographic and social statistics - Income, expenses and living conditions;Demographic and social statistics;Income, expenses and living conditions
ps1019rs;Material and social deprivation rate broke down by age groups and sex;Demographic and social statistics - Income, expenses and living conditions;Demographic and social statistics;Income, expenses and living conditions
ps1020rs;Material and social deprivation rate broke down by economic activity (population aged 18 and over);Demographic and social statistics - Income, expenses and living conditions;Demographic and social statistics;Income, expenses and living conditions
ps1021rs;Individuals living in a low work intensity rate broke down by age groups and sex (population aged 0 to 64);Demographic and social statistics - Income, expenses and living conditions;Demographic and social statistics;Income, expenses and living conditions
ps1022rs;Individuals living in a low work intensity rate broke down by age groups and sex (population aged 18 to 64);Demographic and social statistics - Income, expenses and living conditions;Demographic and social statistics;Income, expenses and living conditions
ps1023rs;Individuals living in a low work intensity rate broke down by group of citizenship (population aged 18 to 64);Demographic and social statistics - Income, expenses and living conditions;Demographic and social statistics;Income, expenses and living conditions
ps1024rs;Individuals living in a low work intensity rate broke down by group of country of birth (population aged 18 to 64);Demographic and social statistics - Income, expenses and living conditions;Demographic and social statistics;Income, expenses and living conditions
ps1025rs;Material and social deprivation rate broke down by the highest education achieved (population aged 18 and over);Demographic and social statistics - Income, expenses and living conditions;Demographic and social statistics;Income, expenses and living conditions
ps1026rs;Material and social deprivation rate by group of citizenship (population aged 18 and over);Demographic and social statistics - Income, expenses and living conditions;Demographic and social statistics;Income, expenses and living conditions
ps1027rs;Material and social deprivation rate by goup of country of birth (population aged 18 and over);Demographic and social statistics - Income, expenses and living conditions;Demographic and social statistics;Income, expenses and living conditions
ps1028rs;Material and social deprivation rate by income quintile;Demographic and social statistics - Income, expenses and living conditions;Demographic and social statistics;Income, expenses and living conditions
ps1029rs;Inequality of income distribution: S80/S20 ratio of upper and lower quintile incomes broken down by age groups and sex;Demographic and social statistics - Income, expenses and living conditions;Demographic and social statistics;Income, expenses and living conditions
ps1833qs;Money incomes of private households by economic activity status of person at the head of the household - quarterly;Demographic and social statistics - Income, expenses and living conditions;Demographic and social statistics;Income, expenses and living conditions
ps1834qs;Money incomes of private households by number of dependant children - quarterly;Demographic and social statistics - Income, expenses and living conditions;Demographic and social statistics;Income, expenses and living conditions
ps2001rs;Money incomes of private household by economical status of household head at work - yearly data;Demographic and social statistics - Income, expenses and living conditions;Demographic and social statistics;Income, expenses and living conditions
ps2002qs;Money incomes of private household by economical status of household head at work - quarterly data;Demographic and social statistics - Income, expenses and living conditions;Demographic and social statistics;Income, expenses and living conditions
ps2009rs;Consumption expenditures of private households by goods or services and economical status of household head at work - yearly data;Demographic and social statistics - Income, expenses and living conditions;Demographic and social statistics;Income, expenses and living conditions
ps2013rs;Basic structure of net money expenditures of private households by purpose and economical status of household head at work - yearly data;Demographic and social statistics - Income, expenses and living conditions;Demographic and social statistics;Income, expenses and living conditions
ps2017rs;Basic structure of gross money expenditures of private households by purpose and economical status of household head at work - yearly data;Demographic and social statistics - Income, expenses and living conditions;Demographic and social statistics;Income, expenses and living conditions
ps2032rs;At risk of poverty rate by age group and sex;Demographic and social statistics - Income, expenses and living conditions;Demographic and social statistics;Income, expenses and living conditions
ps2040rs;Global consumption of foodstuffs in Slovak Republic;Demographic and social statistics - Food consumption;Demographic and social statistics;Food consumption
ps2041rs;Consumption of selected kinds of foodstuffs per capita;Demographic and social statistics - Food consumption;Demographic and social statistics;Food consumption
ps3001rr;Income of households;Demographic and social statistics - Income, expenses and living conditions;Demographic and social statistics;Income, expenses and living conditions
ps3002rr;Expenditures of households;Demographic and social statistics - Income, expenses and living conditions;Demographic and social statistics;Income, expenses and living conditions
ps3004rr;At-risk-of-poverty rate or social exclusion by regions;Demographic and social statistics - Income, expenses and living conditions;Demographic and social statistics;Income, expenses and living conditions
ps3005rr;Severe material and social deprivation by NUTS region;Demographic and social statistics - Income, expenses and living conditions;Demographic and social statistics;Income, expenses and living conditions
ps3006rr;Individuals living in a low work intensity rate broke down by NUTS region (population aged 0 to 64);Demographic and social statistics - Income, expenses and living conditions;Demographic and social statistics;Income, expenses and living conditions
ps3007rr;Inequality of income distribution: Gini coeficient by regions;Demographic and social statistics - Income, expenses and living conditions;Demographic and social statistics;Income, expenses and living conditions
ps3008rr;Material and social deprivation rate by NUTS regions;Demographic and social statistics - Income, expenses and living conditions;Demographic and social statistics;Income, expenses and living conditions
ps3009rr;Inequality of income distribution S80/S20 ratio of upper and lower quintile incomes broken down by regions;Demographic and social statistics - Income, expenses and living conditions;Demographic and social statistics;Income, expenses and living conditions
ps3801rr;Househols and persons in households numbers and percentages by regions;Demographic and social statistics - Income, expenses and living conditions;Demographic and social statistics;Income, expenses and living conditions
ps3802rr;Total household income - percentage of individual income components by region;Demographic and social statistics - Income, expenses and living conditions;Demographic and social statistics;Income, expenses and living conditions
ps3803rr;Total income of household - average income by regions;Demographic and social statistics - Income, expenses and living conditions;Demographic and social statistics;Income, expenses and living conditions
ps3804rr;Equivalised household income - percentage of individual income components by regions;Demographic and social statistics - Income, expenses and living conditions;Demographic and social statistics;Income, expenses and living conditions
ps3805rr;Equivalised household income - average income by regions;Demographic and social statistics - Income, expenses and living conditions;Demographic and social statistics;Income, expenses and living conditions
ps3806rr;Income per person - percentage of individual income components by regions;Demographic and social statistics - Income, expenses and living conditions;Demographic and social statistics;Income, expenses and living conditions
ps3807rr;Income per person - average income by regions;Demographic and social statistics - Income, expenses and living conditions;Demographic and social statistics;Income, expenses and living conditions
ps3808rr;Numbers and proportions of households by intervals of monthly equivalised disposable income by region;Demographic and social statistics - Income, expenses and living conditions;Demographic and social statistics;Income, expenses and living conditions
ps3809rr;Numbers and proportions of persons by intervals of monthly equivalised disposable income by region;Demographic and social statistics - Income, expenses and living conditions;Demographic and social statistics;Income, expenses and living conditions
ps3810rr;Numbers and proportions of persons under at-risk-of poverty threshold (40 %, 50 %, 60 %, 70 % median);Demographic and social statistics - Income, expenses and living conditions;Demographic and social statistics;Income, expenses and living conditions
ps3811rr;At-risk-of-poverty rate or social exclusion by regions;Demographic and social statistics - Income, expenses and living conditions;Demographic and social statistics;Income, expenses and living conditions
ps3812rr;Very low work intensity rate by region;Demographic and social statistics - Income, expenses and living conditions;Demographic and social statistics;Income, expenses and living conditions
ps3813rr;At-risk-of-poverty rate by regions of SR - yearly;Demographic and social statistics - Income, expenses and living conditions;Demographic and social statistics;Income, expenses and living conditions
ra1002rs;Population, families and households;Indicators - Indicators of equality between women and men;Indicators;Indicators of equality between women and men
ra1003rs;Labour market;Indicators - Indicators of equality between women and men;Indicators;Indicators of equality between women and men
ra1004rs;Social statistics and health;Indicators - Indicators of equality between women and men;Indicators;Indicators of equality between women and men
ra1005rs;Education;Indicators - Indicators of equality between women and men;Indicators;Indicators of equality between women and men
ra1006rs;Science and technology;Indicators - Indicators of equality between women and men;Indicators;Indicators of equality between women and men
ra1007rs;Criminality, violence and justice;Indicators - Indicators of equality between women and men;Indicators;Indicators of equality between women and men
ra1008rs;Public life and decision making;Indicators - Indicators of equality between women and men;Indicators;Indicators of equality between women and men
ra1010rs;Victims of crimes;Indicators - Indicators of equality between women and men;Indicators;Indicators of equality between women and men
sk1001rs;Number of crimes by basic groups and types;Demographic and social statistics - Justice and crime;Demographic and social statistics;Justice and crime
sk1002rs;Perpetrators;Demographic and social statistics - Justice and crime;Demographic and social statistics;Justice and crime
sk1003rs;Damages caused by criminality;Demographic and social statistics - Justice and crime;Demographic and social statistics;Justice and crime
sk1004rs;Number of fires by sectors of economy;Demographic and social statistics - Justice and crime;Demographic and social statistics;Justice and crime
sk1005rs;Convicts in penitentiary institutions;Demographic and social statistics - Justice and crime;Demographic and social statistics;Justice and crime
sk3002rr;Crimes of violence and property crimes;Demographic and social statistics - Justice and crime;Demographic and social statistics;Justice and crime
sk3003rr;Criminal offences by basic groups;Demographic and social statistics - Justice and crime;Demographic and social statistics;Justice and crime
so1002rs;Tariffs of compulsory social security premium in % of the basis of assessment in current year;Demographic and social statistics - Social protection;Demographic and social statistics;Social protection
so1003qs;Social safety funds - revenues and expenditures - comparison;Demographic and social statistics - Social protection;Demographic and social statistics;Social protection
so3002rr;Pensions paid;Demographic and social statistics - Social protection;Demographic and social statistics;Social protection
so3801rr;Expenditures on pensions;Demographic and social statistics - Social protection;Demographic and social statistics;Social protection
sp0002ms;Harmonized indices of consumer prices in comparison with previous month - monthly;Macroeconomic statistics - Consumer prices and prices of production statistics;Macroeconomic statistics;Consumer prices and prices of production statistics
sp0003ms;Harmonized indices of consumer prices in comparison with the corresponding period of the previous year - monthly;Macroeconomic statistics - Consumer prices and prices of production statistics;Macroeconomic statistics;Consumer prices and prices of production statistics
sp0004ms;Indices of consumer prices in comparison with the previous month - monthly;Macroeconomic statistics - Consumer prices and prices of production statistics;Macroeconomic statistics;Consumer prices and prices of production statistics
sp0005ms;Indices of consumer prices in comparison with corresponding period of previous year - monthly;Macroeconomic statistics - Consumer prices and prices of production statistics;Macroeconomic statistics;Consumer prices and prices of production statistics
sp0006ms;Indices of consumer prices (December 2000=100) - monthly;Macroeconomic statistics - Consumer prices and prices of production statistics;Macroeconomic statistics;Consumer prices and prices of production statistics
sp0007ms;Development of core and net inflation change in comparison with previous period in % - monthly;Macroeconomic statistics - Consumer prices and prices of production statistics;Macroeconomic statistics;Consumer prices and prices of production statistics
sp0008ms;Development of core and net inflation change in comparison with corresponding period of previous year in % - monthly;Macroeconomic statistics - Consumer prices and prices of production statistics;Macroeconomic statistics;Consumer prices and prices of production statistics
sp0009ms;Development of core and net inflation change in comparison with December of previous year in % - monthly;Macroeconomic statistics - Consumer prices and prices of production statistics;Macroeconomic statistics;Consumer prices and prices of production statistics
sp0010qs;The development of consumer price indices in comparison with the corresponding period last year - quarterly;Macroeconomic statistics - Consumer prices and prices of production statistics;Macroeconomic statistics;Consumer prices and prices of production statistics
sp0011rs;The Universal Consumer Basket 2013;Macroeconomic statistics - Consumer prices and prices of production statistics;Macroeconomic statistics;Consumer prices and prices of production statistics
sp0012rs;The Universal Consumer Basket 2014;Macroeconomic statistics - Consumer prices and prices of production statistics;Macroeconomic statistics;Consumer prices and prices of production statistics
sp0013rs;The Universal Consumer Basket 2015;Macroeconomic statistics - Consumer prices and prices of production statistics;Macroeconomic statistics;Consumer prices and prices of production statistics
sp0014rs;;Macroeconomic statistics - Consumer prices and prices of production statistics;Macroeconomic statistics;Consumer prices and prices of production statistics
sp0015rs;;Macroeconomic statistics - Consumer prices and prices of production statistics;Macroeconomic statistics;Consumer prices and prices of production statistics
sp0016rs;The Universal Consumer Basket 2016;Macroeconomic statistics - Consumer prices and prices of production statistics;Macroeconomic statistics;Consumer prices and prices of production statistics
sp0017ms;Harmonized indices of consumer prices (Average of year 2015=100) - monthly;Macroeconomic statistics - Consumer prices and prices of production statistics;Macroeconomic statistics;Consumer prices and prices of production statistics
sp0018rs;;Macroeconomic statistics - Consumer prices and prices of production statistics;Macroeconomic statistics;Consumer prices and prices of production statistics
sp0019rs;The Universal Consumer Basket 2017;Macroeconomic statistics - Consumer prices and prices of production statistics;Macroeconomic statistics;Consumer prices and prices of production statistics
sp0020rs;The Universal Consumer Basket 2017;Macroeconomic statistics - Consumer prices and prices of production statistics;Macroeconomic statistics;Consumer prices and prices of production statistics
sp0021rs;The Universal Consumer Basket 2018;Macroeconomic statistics - Consumer prices and prices of production statistics;Macroeconomic statistics;Consumer prices and prices of production statistics
sp0022rs;The Universal Consumer Basket 2018;Macroeconomic statistics - Consumer prices and prices of production statistics;Macroeconomic statistics;Consumer prices and prices of production statistics
sp0023rs;The Universal Consumer Basket 2019;Macroeconomic statistics - Consumer prices and prices of production statistics;Macroeconomic statistics;Consumer prices and prices of production statistics
sp0024rs;The Universal Consumer Basket 2019;Macroeconomic statistics - Consumer prices and prices of production statistics;Macroeconomic statistics;Consumer prices and prices of production statistics
sp0027rs;The Universal Consumer Basket 2021;Macroeconomic statistics - Consumer prices and prices of production statistics;Macroeconomic statistics;Consumer prices and prices of production statistics
sp0028rs;;Macroeconomic statistics - Consumer prices and prices of production statistics;Macroeconomic statistics;Consumer prices and prices of production statistics
sp0029ms;Indices of consumer prices - detailed data - monthly;Macroeconomic statistics - Consumer prices and prices of production statistics;Macroeconomic statistics;Consumer prices and prices of production statistics
sp0031rs;The Universal Consumer Basket 2022;Macroeconomic statistics - Consumer prices and prices of production statistics;Macroeconomic statistics;Consumer prices and prices of production statistics
sp0032rs;The Universal Consumer Basket 2022;Macroeconomic statistics - Consumer prices and prices of production statistics;Macroeconomic statistics;Consumer prices and prices of production statistics
sp0101ms;Producer price indices in comparison with corresponding period of previous year - monthly;Macroeconomic statistics - Consumer prices and prices of production statistics;Macroeconomic statistics;Consumer prices and prices of production statistics
sp0102ms;Producer price indices in comparison with the basic period - monthly;Macroeconomic statistics - Consumer prices and prices of production statistics;Macroeconomic statistics;Consumer prices and prices of production statistics
sp0103ms;Producer price indices in comparison with the previous month - monthly;Macroeconomic statistics - Consumer prices and prices of production statistics;Macroeconomic statistics;Consumer prices and prices of production statistics
sp0105qs;Services producer price indices (2010=100) - quarterly;Macroeconomic statistics - Consumer prices and prices of production statistics;Macroeconomic statistics;Consumer prices and prices of production statistics
sp0107ms;Producer price indices in comparison with the basic period - monthly;Macroeconomic statistics - Consumer prices and prices of production statistics;Macroeconomic statistics;Consumer prices and prices of production statistics
sp0108qs;Services producer price indices by CPA - quarterly;Macroeconomic statistics - Consumer prices and prices of production statistics;Macroeconomic statistics;Consumer prices and prices of production statistics
sp0202ms;Average fuel prices in the Slovak Republic - monthly;Macroeconomic statistics - Consumer prices and prices of production statistics;Macroeconomic statistics;Consumer prices and prices of production statistics
sp0207ts;Average fuel prices in the Slovak Republic - weekly;Macroeconomic statistics - Consumer prices and prices of production statistics;Macroeconomic statistics;Consumer prices and prices of production statistics
sp1001ms;Development of core and net inflation (December 2006=100) - monthly;Macroeconomic statistics - Consumer prices and prices of production statistics;Macroeconomic statistics;Consumer prices and prices of production statistics
sp1002qs;Indices of Realized Prices of dwellings - quarterly;Macroeconomic statistics - Consumer prices and prices of production statistics;Macroeconomic statistics;Consumer prices and prices of production statistics
sp1015rs;Harmonized indices of consumer prices - detailed breakdown (average of year 2015=100) - yearly;Macroeconomic statistics - Consumer prices and prices of production statistics;Macroeconomic statistics;Consumer prices and prices of production statistics
sp1016rs;Annual average rate of change measured by HICP - detailed breakdown – yearly;Macroeconomic statistics - Consumer prices and prices of production statistics;Macroeconomic statistics;Consumer prices and prices of production statistics
sp1017ms;Harmonized indices of consumer prices - detailed breakdown (average of year 2015=100) - monthly;Macroeconomic statistics - Consumer prices and prices of production statistics;Macroeconomic statistics;Consumer prices and prices of production statistics
sp1018ms;Annual rate of change measured by HICP - detailed breakdown - monthly;Macroeconomic statistics - Consumer prices and prices of production statistics;Macroeconomic statistics;Consumer prices and prices of production statistics
sp1823ms;Produce prices chosen construction materials by the Classification of CPA:index december 2005=100;Macroeconomic statistics - Consumer prices and prices of production statistics;Macroeconomic statistics;Consumer prices and prices of production statistics
sp1830ms;Industrial producers price indices by Main Industrial Groupings - domestic - monthly;Macroeconomic statistics - Consumer prices and prices of production statistics;Macroeconomic statistics;Consumer prices and prices of production statistics
sp1831ms;Industrial producers price indices by Main Industrial Groupings - export - monthly;Macroeconomic statistics - Consumer prices and prices of production statistics;Macroeconomic statistics;Consumer prices and prices of production statistics
sp1832ms;Industrial producers price indices by Main Industrial Groupings - total - monthly;Macroeconomic statistics - Consumer prices and prices of production statistics;Macroeconomic statistics;Consumer prices and prices of production statistics
sp1836ms;Industrial producers price indices by NACE Rev. 2 with excise duties - domestic - monthly;Macroeconomic statistics - Consumer prices and prices of production statistics;Macroeconomic statistics;Consumer prices and prices of production statistics
sp1837ms;Import price indices by CPA divisions - monthly;Macroeconomic statistics - Consumer prices and prices of production statistics;Macroeconomic statistics;Consumer prices and prices of production statistics
sp1838ms;Export price indices by CPA divisions - monthly;Macroeconomic statistics - Consumer prices and prices of production statistics;Macroeconomic statistics;Consumer prices and prices of production statistics
sp2034ms;Average prices of agricultural products - monthly;Macroeconomic statistics - Consumer prices and prices of production statistics;Macroeconomic statistics;Consumer prices and prices of production statistics
sp2037rs;Consumer Price Indices by COICOP - yearly;Macroeconomic statistics - Consumer prices and prices of production statistics;Macroeconomic statistics;Consumer prices and prices of production statistics
sp2038ms;Consumer Price Indices by COICOP - monthly;Macroeconomic statistics - Consumer prices and prices of production statistics;Macroeconomic statistics;Consumer prices and prices of production statistics
sp2042ms;Average consumer prices of selected products - monthly (until 2023);Macroeconomic statistics - Consumer prices and prices of production statistics;Macroeconomic statistics;Consumer prices and prices of production statistics
sp2043rs;Inflation measured by CPI (national methodology) - total, core, net - yearly;Macroeconomic statistics - Consumer prices and prices of production statistics;Macroeconomic statistics;Consumer prices and prices of production statistics
sp2046ms;Harmonized Indices of Consumer Prices - indices to different basis - monthly;Macroeconomic statistics - Consumer prices and prices of production statistics;Macroeconomic statistics;Consumer prices and prices of production statistics
sp2057ms;Industrial producers price indices by NACE Rev. 2 without excise duties (2015=100) - total - monthly;Macroeconomic statistics - Consumer prices and prices of production statistics;Macroeconomic statistics;Consumer prices and prices of production statistics
sp2061qs;Price indices of construction works by the Classification of types of construction (2015=100) - quarterly;Macroeconomic statistics - Consumer prices and prices of production statistics;Macroeconomic statistics;Consumer prices and prices of production statistics
sp3801qr;Indices of Realized Prices of dwellings - regional, quarterly;Macroeconomic statistics - Consumer prices and prices of production statistics;Macroeconomic statistics;Consumer prices and prices of production statistics
st0002ms;Turnover - 41-43 Construction;Sector statistics - Construction;Sector statistics;Construction
st0003qs;Housing construction and decrease of dwellings;Sector statistics - Construction;Sector statistics;Construction
st0005ms;Construction production - Construction Production (company method) - monthly;Sector statistics - Construction;Sector statistics;Construction
st0006ms;Turnover - 41-43 Construction - monthly;Sector statistics - Construction;Sector statistics;Construction
st1004ms;Selected indicators of construction enterprises - NACE Rev. 2 - monthly;Sector statistics - Construction;Sector statistics;Construction
st1005ms;Selected labour indicators in the construction industry - monthly;Sector statistics - Construction;Sector statistics;Construction
st1006ms;Construction production in inland by subject structure and by orientation of construction (SK NACE Rev. 2) - monthly;Sector statistics - Construction;Sector statistics;Construction
st1007ms;Average monthly wage of employee in construction (year-on-year index) - monthly;Sector statistics - Construction;Sector statistics;Construction
st1008ms;Selected indicators of construction enterprises by size structure - monthly;Sector statistics - Construction;Sector statistics;Construction
st2002qs;Dwellings by number of rooms and average area - quarterly data;Sector statistics - Construction;Sector statistics;Construction
st2012rs;Construction production carried out by own employees by ownership sectors;Sector statistics - Construction;Sector statistics;Construction
st2013rs;Construction production carried out by own employees - yearly (until 2022);Sector statistics - Construction;Sector statistics;Construction
st2017rs;Construction production carried out by own employees, Labour productivity, Emloyment and Average wage by size structure of enterprises;Sector statistics - Construction;Sector statistics;Construction
st2022qs;Started, completed and under construction dwellings by ownership - quarterly data;Sector statistics - Construction;Sector statistics;Construction
st2024qs;Building permits - quarterly data;Sector statistics - Construction;Sector statistics;Construction
st3002rr;Construction - enterprises with 20 and more employees (NACE Rev. 2);Sector statistics - Construction;Sector statistics;Construction
st3004rr;Housing construction - selected indicators;Sector statistics - Construction;Sector statistics;Construction
st3006rr;Completed dwellings by number of rooms;Sector statistics - Construction;Sector statistics;Construction
st3701rr;Living conditions - cities;Selected tables of Eurostat database - City statistics;Selected tables of Eurostat database;City statistics
sv1801rs;Enterprises with continuing vocational training by economic activity categories - yearly;Demographic and social statistics - Education;Demographic and social statistics;Education
sv1802rs;Enterprises with continuing vocational training by size of the enterprise - yearly;Demographic and social statistics - Education;Demographic and social statistics;Education
sv1803rs;Preferred skills targeted by CVT courses by economic activity categories (share of enterprises providing CVT courses in %) - yearly;Demographic and social statistics - Education;Demographic and social statistics;Education
sv1804rs;Preferred skills targeted by CVT courses by size of the enterprise (share of enterprises providing CVT courses in %) - yearly;Demographic and social statistics - Education;Demographic and social statistics;Education
sv1805rs;Other forms of CVT in enterprises by economic activity categories (share of enterprises providing CVT courses in %) - yearly;Demographic and social statistics - Education;Demographic and social statistics;Education
sv1806rs;Other forms of CVT in enterprises by size of the enterprise (share of enterprises providing CVT courses in %) - yearly;Demographic and social statistics - Education;Demographic and social statistics;Education
sv2003rs;Secondary schools;Demographic and social statistics - Education;Demographic and social statistics;Education
sv2005rs;Higher education institutions;Demographic and social statistics - Education;Demographic and social statistics;Education
sv2008rs;General government expenditure on education by Classification of the Functions of Government (COFOG);Demographic and social statistics - Education;Demographic and social statistics;Education
sv3006rr;Basic schools - students;Demographic and social statistics - Education;Demographic and social statistics;Education
sv3024rr;Universities and faculties - number of students and graduates;Demographic and social statistics - Education;Demographic and social statistics;Education
sv3701rr;Education - cities;Selected tables of Eurostat database - City statistics;Selected tables of Eurostat database;City statistics
sv3801rr;Enterprises with continuing vocational training by regions - yearly;Demographic and social statistics - Education;Demographic and social statistics;Education
sv3802rr;Preferred skills targeted by CVT courses by regions (share of enterprises providing CVT courses in %) - yearly;Demographic and social statistics - Education;Demographic and social statistics;Education
sv3803rr;Other forms of CVT in enterprises by regions (share of enterprises providing CVT courses in %) - yearly;Demographic and social statistics - Education;Demographic and social statistics;Education
ts0003ms;Selected market services - Turnover (year-on-year index) - monthly;Sector statistics - Selected market services;Sector statistics;Selected market services
ts1001ms;Average wages of employee in selected market services (year-on-year index) - monthly;Sector statistics - Selected market services;Sector statistics;Selected market services
ts1002ms;Average of employed persons of selected market services (year-on-year index) - monthly;Sector statistics - Selected market services;Sector statistics;Selected market services
ts2003ms;Average wages of employee in selected market services - monthly data;Sector statistics - Selected market services;Sector statistics;Selected market services
vh1001rs;Biochemical oxygen demand in selected watercourses;Multi-domain statistics - Water management;Multi-domain statistics;Water management
vh3001rr;Public water-supply and sewage systems;Multi-domain statistics - Water management;Multi-domain statistics;Water management
vh3801rr;Distribution and purification of water;Multi-domain statistics - Water management;Multi-domain statistics;Water management
vh3802rr;Length of systems and sewage water;Multi-domain statistics - Water management;Multi-domain statistics;Water management
vt0001rs;Research and development (R&D) personnel;Indicators - Global indicators of Agenda 2030;Indicators;Global indicators of Agenda 2030
vt0002rs;Gross domestic expenditures on R&D (GERD) - key indicators;Indicators - Global indicators of Agenda 2030;Indicators;Global indicators of Agenda 2030
vt0003rs;Innovation;Multi-domain statistics - Science, technology and innovation;Multi-domain statistics;Science, technology and innovation
vt1001rs;Share of enterprises with innovation activity by technological sectors in %;Multi-domain statistics - Science, technology and innovation;Multi-domain statistics;Science, technology and innovation
vt1002rs;Share of expenditures on innovation activities in industry (%);Multi-domain statistics - Science, technology and innovation;Multi-domain statistics;Science, technology and innovation
vt1003rs;Intensity of innovations by technological sectors in %;Multi-domain statistics - Science, technology and innovation;Multi-domain statistics;Science, technology and innovation
vt1004rs;Enterprises with innovation activity and received public financial support in %;Multi-domain statistics - Science, technology and innovation;Multi-domain statistics;Science, technology and innovation
vt1005rs;Share of the innovative enterprises cooperating in innovations with be specified type of partner in %;Multi-domain statistics - Science, technology and innovation;Multi-domain statistics;Science, technology and innovation
vt1006rs;Share of enterprises indicated high importance of sources in %;Multi-domain statistics - Science, technology and innovation;Multi-domain statistics;Science, technology and innovation
vt1008rs;Structure of R&D expenditures (in %);Multi-domain statistics - Science, technology and innovation;Multi-domain statistics;Science, technology and innovation
vt1009rs;Structure of R&D employees (in %);Multi-domain statistics - Science, technology and innovation;Multi-domain statistics;Science, technology and innovation
vt1010rs;Structure of R&D employees by sex (in %);Multi-domain statistics - Science, technology and innovation;Multi-domain statistics;Science, technology and innovation
vt1011rs;Number of enterprises with innovation activity;Multi-domain statistics - Science, technology and innovation;Multi-domain statistics;Science, technology and innovation
vt1012rs;Share of enterprises with innovation activity on the total number of enterprises in %;Multi-domain statistics - Science, technology and innovation;Multi-domain statistics;Science, technology and innovation
vt1013rs;Share of turnover in enterprises with innovation activity from total turnover of all enterprises in %;Multi-domain statistics - Science, technology and innovation;Multi-domain statistics;Science, technology and innovation
vt1014rs;Share of number employees in enterprises with innovation activity from total number of employees in %;Multi-domain statistics - Science, technology and innovation;Multi-domain statistics;Science, technology and innovation
vt1015rs;Intensity of innovations in % (the share of expenditures on innovation activities from turnover of enterprises with innovations);Multi-domain statistics - Science, technology and innovation;Multi-domain statistics;Science, technology and innovation
vt1016rs;Share of innovative and non-innovative enterprises indicated high importance of factors hampering innovation activity in %;Multi-domain statistics - Science, technology and innovation;Multi-domain statistics;Science, technology and innovation
vt1802rs;Share of innovative and non-innovative enterprises that indicated a high degree of importance in selected business strategies in %;Multi-domain statistics - Science, technology and innovation;Multi-domain statistics;Science, technology and innovation
vt1803rs;Enterprises with product innovation with novelty on the market and within the enterprise by size classes and economic activities (NACE Rev. 2);Multi-domain statistics - Science, technology and innovation;Multi-domain statistics;Science, technology and innovation
vt1804rs;Turnover from innovative products, which are new to the market or new to the enterprise by size classes and economic activities (NACE Rev. 2);Multi-domain statistics - Science, technology and innovation;Multi-domain statistics;Science, technology and innovation
vt1805rs;Share of innovative enterprises that introduced an innovation with a environmental benefit in %;Multi-domain statistics - Science, technology and innovation;Multi-domain statistics;Science, technology and innovation
vt1806rs;Share of innovative enterprises that indicated a high degree of importance of factors influencing the introduction of an innovation with an environmental benefit in %;Multi-domain statistics - Science, technology and innovation;Multi-domain statistics;Science, technology and innovation
zd1001rs;Development of selected indicators on disability to work due to disease and injury in the SR;Demographic and social statistics - Health;Demographic and social statistics;Health
zd1002rs;Consumption of drugs;Demographic and social statistics - Health;Demographic and social statistics;Health
zd1004rs;Working posts, beds in health facilities, pharmacies;Demographic and social statistics - Health;Demographic and social statistics;Health
zd1006rs;Disability to work;Demographic and social statistics - Health;Demographic and social statistics;Health
zd1007rs;Average number of people covered by sickness;Demographic and social statistics - Health;Demographic and social statistics;Health
zd1008rs;Current expenditure on health care by financing schemes and functions of care;Demographic and social statistics - Health;Demographic and social statistics;Health
zd1009rs;Current expenditure on health care by health care providers and functions of care;Demographic and social statistics - Health;Demographic and social statistics;Health
zd1010rs;Current expenditure on health care by financing schemes and health care providers;Demographic and social statistics - Health;Demographic and social statistics;Health
zd1824rs;Selected infectious diseases compulsory notified;Demographic and social statistics - Health;Demographic and social statistics;Health
zd3002rr;Disability to work - cases;Demographic and social statistics - Health;Demographic and social statistics;Health
zd3004rr;Health facilities;Demographic and social statistics - Health;Demographic and social statistics;Health
zd3005rr;Contraceptive rate of women of reproductive age;Demographic and social statistics - Health;Demographic and social statistics;Health
zo0001ms;Foreign trade by months;Macroeconomic statistics - Foreign trade;Macroeconomic statistics;Foreign trade
zo0003rs;Foreign trade by Sections in Harmonized System;Macroeconomic statistics - Foreign trade;Macroeconomic statistics;Foreign trade
